Position,Move,Depth,Score
5rk1/pp2q1pp/1n1n2b1/2p5/4pP2/2P5/Pr1N1PPP/3QBRK1 b - - 3 18,e4e3,8,-6942
1r6/1PRR3p/5pk1/1r4p1/8/5P2/2PK2PP/8 b - - 2 42,g6f5,10,2033
n6r/pp2kbp1/2p2b2/3p3P/6P1/2PQP3/PPNP1P1q/2KRB1RN b - - 3 20,h2g1,10,1187
nrkrqnbb/ppp1pppp/8/8/3Pp3/8/PPP2PPP/NRKRQNBB w KQkq - 0 3,g2g4,19,-10
1rkqnbbr/ppp3pp/1n3p2/2Npp3/3P4/1N2P3/PPP2PPP/1RKQ1BBR b KQkq - 0 5,c7c6,19,-23
b1rnq1kr/p4ppp/4pn2/1p1p4/1PpP4/2P1NPP1/P1B1P1P1/B1RN2KR w KQkq - 3 10,a1b2,9,-3921
k2r4/4Rp2/8/1pPP3p/8/6P1/6K1/8 b - - 0 37,d8d5,16,0
1r1n1rkb/pq1pp1pp/1pp1n3/3P1b2/1P6/1R2Q3/P1P2P1P/B2NKNRB b K - 0 10,c6d5,13,-263
rq1k1rnb/pp1ppb1p/2p3p1/2Pn1p2/3P4/1N6/PPQ1PPPP/1K1RBRNB b kq - 2 7,g8f6,19,-54
n4rkn/prppppqp/1p4p1/8/5P2/1P4P1/P1PPP1QP/NR1KR2N b KQ - 1 8,c7c6,19,28
rk1bnqnr/ppp2ppb/4p2p/3p4/3P1PP1/3N1N1P/PPP1P3/RKBB1Q1R b KQkq - 2 6,e8d6,19,-41
rbk1nrb1/p3p1pp/1q4n1/2Np4/5p2/2P5/PP2PPPP/RBKQNRB1 w KQkq - 1 9,f2f3,13,372
2b1r1k1/6pp/1n1p4/1p1Pr3/p2R1p2/P1P2P2/BPN3PP/4RK2 w - - 3 24,d4f4,10,562
rkbbrnn1/pppppp1p/6p1/4B3/6P1/8/P1P1PP1P/RK1q1NNQ w Qkq - 0 6,b1b2,10,-1961
8/p6p/1p1R2p1/4Qpk1/1PP1b3/4N3/P3P1PP/4K2B w - - 1 27,e5e7,5,#+4
8/2k3p1/1p3p2/2n1pP2/1N2B2r/2P5/1P6/3KR3 w - - 3 49,e4c2,10,961
r2qkbr1/pbpnpp1p/1pnp2p1/3N4/4PP2/3PB1N1/PPP1B1PP/R2Q1RK1 b kq - 1 9,e7e6,19,81
2rn1k1r/pp1b2qp/3p1p1N/2pn2p1/2P5/6P1/PP1BPPP1/1BR2QKR b KQ - 2 14,d5e7,13,339
4rk2/2p2q1p/Q2r1pp1/5b2/3P4/1PR2P2/PK4PP/3R2B1 w - - 0 25,a6b5,13,253
2kr3r/1bb3q1/4p3/5ppp/1p1P4/5PP1/P3PQ1P/3BBRK1 w - - 0 22,d1b3,10,-1942
3r1k2/p2r3p/1p4pn/2pPP3/6P1/PP3N1P/3R1PK1/3R4 b - - 2 29,d8e8,10,3034
brnnkbqr/ppp2ppp/3p4/4P3/4P3/8/PPP2PPP/BRNNKBQR b KQkq - 0 3,d6e5,19,33
6k1/pp6/8/4N2p/2pPK3/2P2R2/PP6/2q5 b - - 10 47,h5h4,19,-96
2qr1rkb/ppppp1pp/1nn5/5p2/3P1Q2/1PN5/PP2PPPP/2KR1RBB b - - 2 6,d7d5,19,-30
q2rbbkr/pp3pp1/2n1p3/2Np3p/2nPP2P/2N5/PP3PP1/Q2RBBKR w KQkq - 2 8,c5b3,19,26
7r/2N1bkp1/1pP2pp1/p7/P3PPb1/1q2B1N1/6PP/4RRK1 b - - 4 26,e7b4,10,-489
r1krn1bq/ppp3bp/2np2p1/4pp2/3P1P2/2NNP1P1/PPP4P/R1KR1BBQ w KQkq - 0 7,f4e5,19,-4
2kr4/pp3p1p/1nb2Q2/2N5/3p4/6PK/P4P1P/8 w - - 2 26,h3h4,13,266
q4rk1/1p1n1ppp/4pn2/1Q6/8/1B2PN2/P4PPP/4bRK1 w - - 0 16,f3e1,19,5
4r3/p1p5/2kp4/8/P5pR/5bK1/1R6/8 b - - 5 32,e8e3,16,-150
rk2qr1n/pbp2pp1/1p1p1n1p/8/4P3/3B1NN1/PPP1QPPP/RK3R2 b KQkq - 1 10,h8g6,19,-5
2k2r2/p1pp2b1/1pq5/3p2p1/P2Pn3/1P4P1/1QP1R2P/1K4BB w - - 4 25,h1e4,16,-178
brknrn2/p1ppp1qp/1p6/5p2/8/1P1P4/P1PN1PPP/1RKNR1QB b Kkq - 1 7,f8g6,19,-38
nbnrk1br/pppp1ppp/1q6/8/3pP3/1NP5/PP3PPP/NB1RKQBR w KQkq - 0 5,f2f4,13,215
8/p1Q1kp2/1p2p1p1/2p4p/4P2P/1P2R1P1/2nq1PK1/8 b - - 7 33,d2d7,13,-228
rkbnnrqb/pp1ppppp/2p5/8/3P4/6P1/PPP1PP1P/RKBNNRQB b KQkq - 0 2,f7f5,19,20
1qr4k/p3p2p/4P1p1/1p3P2/2nQ4/6P1/P3K2P/2R1R2B b - - 1 23,h8g8,10,1999
qrbkrnnb/pp2pp1p/2p3p1/8/3PB3/2P3P1/PP3P1P/QRBKRNN1 b KQkq - 0 5,a7a5,19,26
q3k1nb/1p3r1p/1BPppp2/5bp1/8/2P5/PP2PPPP/N2RKRNB b K - 0 13,d6d5,13,-325
r5k1/bR6/p1p2Bp1/3b4/PP6/8/5PP1/5RK1 b - - 0 31,c6c5,10,2072
1b1r2k1/p2b1n1p/1p2p1pq/1P1pPp1n/3P1P2/P2BNNP1/1Q5P/2R2RK1 b - - 0 23,g8h8,10,1061
q1k4r/pbp1bppp/1p3n2/8/4PB2/1P1r2N1/P5PP/QR1B1RK1 w - - 0 13,b3b4,19,49
1rkbqrbn/pp2p2p/1npp1pp1/8/3PP3/1N3PN1/PPP1B1PP/1RK1QRB1 b KQkq - 1 6,f6f5,19,98
rknrnqbb/pp5p/6p1/3P1p2/8/1N3NP1/PPPP3P/RK1R1QBB b KQkq - 1 8,a7a5,13,316
1k2r3/b7/p1p5/1p1n2q1/6P1/1PP2P1P/PN1P4/1K1RR3 w - - 0 32,e1e8,16,-104
1k1r1rq1/pp1b1ppp/1pn1p1n1/3p4/1P1P1P2/P2NP3/2PBB1PP/R1K2RQ1 w KQ - 2 13,a3a4,16,191
brkbq2r/p1p1pp1p/1p1pn1p1/7n/6N1/1P3P2/P1PPPQPP/BRKB2NR w KQkq - 0 7,a1h8,16,206
qnbbrknr/p3pppp/1p1p4/2p5/4P3/3P1N2/PPP2PPP/QNBBRK1R w KQkq - 0 4,a2a3,19,31
rbbk1qr1/pppp1ppp/3n2n1/4p3/4P3/1P6/PBPP1PPP/RB1KNQRN w KQkq - 3 4,h1g3,19,11
brnkrb2/p1pp1qpp/4ppn1/1p6/3PP3/1P1N2N1/P1P2PPP/BR1KRBQ1 w KQkq - 2 6,f2f3,19,81
8/7p/3kP1p1/8/7P/1B2K1P1/6b1/8 w - - 3 43,e3f4,18,9
3rr3/p1p2k1p/1p2pp2/8/1nPP1P2/4B1R1/PP4PP/2R3K1 w - - 1 23,a2a3,19,91
rq4kr/p1pp1ppp/1pn1pn2/8/P2PP3/2P2N2/2P1QPPP/R1B2RK1 w kq - 1 13,c3c4,13,243
5k2/2b3pp/2p1Qp2/ppP5/3P4/1P3KPP/3q2P1/8 w - - 1 42,e6c8,19,-11
nbrkb1r1/pp1pppqp/2p1n1p1/8/4P3/1N1PN3/P1PB1PPP/1BRK2RQ w KQkq - 0 6,g2g3,16,-124
7b/pp1Nk3/2n5/1b3Bp1/6P1/6B1/PPP4P/2KR4 w - - 3 23,d1e1,10,5889
brknrnqb/ppp1pp1p/3p4/4P1p1/8/8/PPPP1PPP/BRKNRNQB w KQkq - 0 3,e5d6,19,72
5rk1/pp3ppp/2bbpnn1/3p4/P2P3q/1P1QP1N1/2NB1PPP/2R2BK1 b - - 6 16,f6g4,13,-368
8/p1k5/1p3qp1/2r2n1p/5p2/1P3P2/P1B1R1PP/1K2Q3 w - - 8 30,b3b4,19,5
rnk2bqr/pp1p1bpp/2p2p2/4p3/4Pn2/P1N1N3/1PPP1PPP/2KRBBQR b kq - 0 7,f4e6,19,40
b6r/p1pk1p2/3pn3/1p5p/4P2p/1PPN1Br1/P7/2KR3R w - - 4 22,h1h4,10,-669
8/8/2p4R/3pK1p1/3P3p/2rP2k1/8/8 b - - 1 48,h4h3,10,-3381
n1rk1q1r/pp1pnbpp/2p2p2/8/3PP3/1N6/PP1N1PPP/1BRK1Q1R w KQkq - 1 9,f1d3,19,65
2q3kr/p2ppppp/1b6/8/3p4/1b1N1P2/P5PP/1Q3RK1 w k - 0 15,b1b3,10,-749
brkbn1qr/pp2pppp/2p3n1/3p4/3P4/4PN2/PPP2PPP/BRKB1NQR w KQkq - 0 4,f1d2,19,96
qrkrnnbb/ppp1p2p/6p1/4pp2/3P1P2/8/PPP3PP/QRKRNNBB w KQkq - 0 5,f4e5,19,-18
r1kq1r1b/pppn1p1p/2b1pnp1/3p4/3P4/2N1P1P1/PPP1QP1P/1K1RBRNB b kq - 2 7,a7a6,19,35
7k/p2pppp1/q1P3nQ/1p6/1P2P3/6Pn/P5K1/BBR5 b - - 2 19,h8g8,2,#+1
3k4/8/8/3pR3/3P4/2P5/PPK1R2P/8 w - - 3 41,e5e7,3,#+4
nbkr2qr/pppbpppp/5n2/3p4/3P1B2/2P2P2/PP2P1PP/NB1RNKQR w KQ - 1 5,h2h4,19,36
1r1kbbqr/ppnp1ppp/1np5/4p3/P3P3/1B6/1PPP1PPP/NRNKB1QR w KQkq - 1 5,a4a5,19,39
qrb2rk1/ppp4p/3n1Bp1/3p4/2P3P1/5N2/P3PP1P/QR1N1RKB w - - 1 13,f3g5,10,7245
brknqb1r/p1p2ppp/1p2pn2/3p4/3P4/1P4P1/P1P1PPBP/BRKNQ1NR w KQkq - 0 5,e2e3,19,-25
8/8/p7/1npk4/1r3R2/1N1P4/2PK4/8 b - - 0 39,b4f4,10,-3187
r1b5/p5p1/1ppqP1k1/8/3P1RQ1/1B6/PP4PP/6K1 b - - 2 26,g6h7,2,#+3
bnrkrnqb/ppp1pppp/3p4/8/2P5/1P6/P2PPPPP/BNRKRNQB b KQkq - 0 2,h7h5,19,30
nqrknr2/ppppp3/2b5/5pN1/3b4/2PPN3/PP2P1PP/1QRK1RBB w KQkq - 1 9,c3d4,10,2597
2q1rbkr/1b1p1npp/ppn1pp2/2p2N2/3PP3/NP6/P1P2PPP/B1Q1RBKR w KQkq - 0 9,d4d5,16,-156
1rnb2kr/p2p2pp/1p3pq1/2pnp3/4P3/1P2N1P1/P1B1NP1P/BR2Q1KR w KQkq - 0 11,e4d5,9,6260
1rkb1q1r/ppp1p1pp/1n1n1p2/3p4/5Pb1/1N1PPN2/PPP1B1PP/1RK2QBR w KQkq - 3 7,c2c4,16,155
7r/1p1Q1kp1/2p2p2/2B5/3P4/1P2P3/3KR3/6qq b - - 5 36,f7g6,10,-4678
r2q1r1b/1kp2pp1/1p1npn1p/p2pNb2/P2P4/1P2PP2/1BPQN1PP/RK3R1B b KQ - 3 10,f5h7,16,116
b1rqk1r1/pppp1ppp/2n3n1/2b5/4P3/6PB/PPP2P1P/BNRQK1RN b KQkq - 2 6,g6e5,19,-66
6k1/p6p/2q3p1/1p3p2/1Pb1rQ2/7P/P4PP1/2R3K1 w - - 2 30,f4b8,10,-994
n1bqrrk1/ppb2pp1/2p2n1p/3p4/8/1NP2N2/PP2PPPP/1BBQRRK1 w - - 2 9,b3d2,19,-26
1r1knqrb/pp1bpp2/1n1p4/2p4p/2P5/1P1PPNPP/P1NB4/1R1K1QRB w KQq - 0 12,a2a4,19,32
1k1rqrb1/ppp3pp/2n3n1/4Pp2/8/1PN2BP1/PKPP1N1P/R3Q1R1 b - - 0 13,c6e5,19,-28
3r1k2/p3p1b1/1pn2prp/2p4Q/4P3/1P3NqP/P1P3P1/B3RKRB w K - 1 18,h5h4,10,1604
3r1rk1/1p2Qp2/2p2ppp/q2p1b2/P2P1P1P/8/2P1P3/1B1K2R1 b - - 0 19,a5b6,10,-3667
1rk1nrbQ/1p2p2p/6p1/qP3p2/p2P1P2/6P1/P3P2P/1RK2R1B b KQkq - 0 14,g8b3,10,-4749
