Position,Score,Move
2k5/pp1b4/2p5/3p4/1P2p3/1B6/3r4/1K6 w - - 0 47,#-27,b1c1
8/7p/6p1/2k5/p1ppp3/1p6/5P1P/2K5 b - - 1 54,#-7,c4c3
3r1r1b/Qp5R/2pkpq2/3pNn2/2b2P2/2N5/PPPP3P/2K1R2B w - - 1 22,#+3,e5c4
8/7R/p6R/kpp5/8/1P6/PKP4P/4r3 b - - 2 41,#+35,c5c4
5rk1/R1p5/6pp/1p3p1P/2rbp1P1/8/1K6/3b3B w - - 1 37,#-22,b2b1
4k2b/1p1ppr1p/2q3p1/2P5/1PQ2P2/4B1P1/3r3P/4R1K1 b - - 2 30,#-1,c6g2
7k/7p/p5pP/1p1BpqB1/1P1bN3/1Kn5/P1Q5/8 w - - 7 46,#+12,g5f6
1r4k1/5p1p/p4nP1/7q/b1pNp3/2P1P1K1/P5P1/2Q2R2 b - - 2 24,#-33,h5g6
2kr3r/pp2b3/1n5p/2p1p2P/3n2p1/P1Nb2P1/1PqN1PB1/2BRK1QR b KQ - 1 19,#-26,c2c3
5kr1/3R1q2/2Q3p1/4Pp1p/3P1P1P/6P1/4N3/6K1 w - - 1 37,#+4,c6d6
1r1r4/6k1/5pp1/p1p5/1pP1p2p/1P2N1q1/PQ1Pn3/1R1K4 w - - 0 37,#-42,b2f6
2n1b1kq/pp1r3p/2p3p1/8/1BP1p3/1N4P1/Pb2Q2P/1BN2RK1 w - - 0 16,#+17,f1f8
5k2/6bp/2p3p1/p1P1ppK1/8/5PP1/7P/5q2 b - - 1 29,#-2,f1f3
2krq1bn/pp4pp/2p5/5p2/8/2N1bnP1/PPP4P/RBK2QB1 w Q - 0 14,#-1,g1e3
8/3r3k/3p2pp/Q2Pp3/4P1R1/3r1N2/4nPPK/5q2 b - - 1 43,#-11,d3d1
3r4/pkr3R1/1p2Bp1p/2pPpQ2/2P5/1P6/PK5P/2B5 b - - 0 35,#+22,c7g7
3k2Q1/1qrn4/pp1R2p1/2p1Pb2/P1B5/1P3P2/6P1/2KR4 b - - 6 41,#+2,d8e7
8/8/6pk/6p1/1P6/7P/P3QPPK/8 w - - 0 38,#+13,e2g4
2r3k1/5pp1/2p2q2/P2p1r1p/BB1Pp1n1/P3P1Pb/4P2P/2R1Q1KR b - - 9 25,#-3,f5f2
8/2p2p2/4k2p/1p2np1P/3p4/2r5/4K3/8 b - - 1 40,#-15,c3c5
8/6pp/3k4/1p1P2P1/p3P3/4Kn2/8/8 b - - 2 38,#-32,a4a3
1qrbb1kr/pppppp2/5n2/6p1/3P4/1BP2K2/PP2P3/NQR1B1NR w - - 0 12,#+3,b1g6
5r2/1p2k1p1/2P1p2p/1P1pK3/r4PP1/8/2R4P/4R3 b - - 2 31,#-5,f8f4
8/p1p3pp/6n1/1pk5/3q4/1Pn3P1/2P1R2P/6K1 w - - 10 40,#-13,g1g2
1r4k1/p3p3/2pp1pp1/7p/4P3/1rq3P1/Q2R2P1/K4R2 w - - 0 24,#-17,d2b2
8/8/1k1p3R/3P4/5PN1/7K/7P/8 w - - 1 46,#+15,h6d6
6k1/p3q1pp/5p2/1p3P2/2p1r3/7P/PP3QP1/4rR1K w - - 1 31,#-33,h1g1
8/8/3PR3/pp6/1P1k3P/8/KP6/8 b - - 0 63,#+29,d4d5
3r3k/p7/1p1pQ2p/3Pp2P/P1Pp4/1P1P2q1/8/6KR w K - 0 31,#-5,g1f1
1r1k2r1/p3R1B1/1ppP3n/5p2/1PP2pp1/3Q4/P5P1/6K1 b - - 3 29,#+16,b8c8
r5k1/5p1p/6p1/1p3p2/1P6/PKRN4/3q4/8 b - - 4 33,#-18,a8a3
1k6/pbp3b1/1p4p1/3p4/1P1P4/K1P4p/8/8 w - - 0 42,#-16,a3b2
3rr1k1/pp4pp/6n1/2P1np2/1PN5/2P2P2/P2B3q/RB1K1R2 w - - 5 20,#-21,d1c2
6k1/8/6p1/p2pPp2/2pP1P2/5K2/8/8 b - - 0 49,#-21,a5a4
8/2k1P3/2pn4/3B2B1/3b4/6P1/r6r/2RK1R2 w - - 0 34,#+46,c1c6
4r1k1/pp3ppp/2p5/b2q4/5P1n/1PK3P1/P1P2N1P/1R2R3 w - - 10 27,#-7,b3b4
4qR2/pb4Q1/1p6/3pk3/8/4p1Pp/PP5P/6K1 b - - 3 31,#+14,e5d6
1k3qr1/1rp2p1p/QB1p4/5Pbp/3P2P1/8/PP5P/1K6 b - - 0 25,#-30,b7b6
1QQ1QQ2/8/8/3R4/8/1K2P3/7P/4k3 w - - 1 62,#+2,c8c1
8/R7/8/7P/5B2/K3P1P1/2k2r2/8 b - - 0 37,#+57,c2d3
r5r1/1k6/2b5/qpp1pP1p/3pP3/1P1Q4/2P4P/2KRR3 w - - 0 30,#-21,b3b4
8/p4p2/1p4p1/7k/PpP4P/8/2K5/8 b - - 5 38,#-34,a7a5
1r2kr2/p5b1/3P2R1/1ppBpR2/8/P2P4/1PP5/6K1 w - - 6 34,#+4,d5c6
8/pr6/8/1kpp1N2/8/1n2B1P1/1R1PPP2/5RK1 w - - 1 32,#+34,b2b3
6k1/p7/1p1p4/2PP1Q1p/1Pn3N1/6PK/PB2q3/8 w - - 1 47,#+1,g4h6
1b1r4/pR5p/2B3pk/8/2P3n1/1P4P1/6PK/8 w - - 1 26,#-4,h2h3
7Q/8/1p6/2k5/P7/2p5/7P/1R4K1 b - - 0 43,#+12,c3c2
5r2/P5R1/8/3p1kP1/5P2/3K4/2P5/8 w - - 3 50,#+45,g7f7
k1r4b/7p/1Q4p1/4qp2/1P1p4/6P1/P2PPP1P/B2R1RK1 w - - 1 21,#+21,d1c1
6k1/1p4pp/p3n3/8/2P5/KPB4q/P7/8 b - - 7 32,#-7,h3c3
5r2/3n1k2/p4ppQ/p2P3p/1rPR3P/2K5/2B3P1/7R b - - 0 26,#+27,b4b3
8/2pp1k1p/5ppr/8/p1PP4/4r3/2K5/1R6 w - - 0 34,#-28,b1d1
1k1r4/p5QR/1p3p2/2pb4/8/1P6/PKB4P/4q3 b - - 4 26,#+9,e1e5
r4rk1/2b1p1p1/1p6/pP3B1p/P1P2P2/4p3/4P3/3K3b b - - 0 30,#-13,f8f5
r6b/pppQ1kp1/2n2p2/1NB5/1P3PP1/2P5/P1K4P/R7 b - - 0 20,#+20,f7g8
1k6/1p6/5q2/5P1p/pN2K3/2P5/8/8 b - - 3 56,#-28,f6c3
8/4p1kp/2R1Pp2/2P2P2/5KpP/8/8/8 b - - 3 45,#+19,g4g3
4r1k1/1q5p/6p1/pp3p2/5Q1R/1P2PnPK/3r3P/8 w - - 0 36,#-9,f4f3
rb1k2r1/4pp2/2p1n2p/1p2PKp1/p2P3P/2P2P2/5B2/8 b q - 1 27,#-14,a4a3
8/p4p2/5k1p/5prP/8/7K/8/8 w - - 2 41,#-7,h3h2
8/8/8/1k6/3N2P1/5Q1P/P4P2/6K1 b - - 2 51,#+12,b5c4
8/7p/1p4P1/p1p1k3/2n5/8/P7/1K6 b - - 0 53,#-31,h7g6
8/7p/1k6/p2pn1p1/Pp3pP1/1P1qp2P/6K1/5Q2 b - - 3 51,#-7,f4f3
